iter	Passed	Remaining
0	137	137345
1	139	69760
2	141	47079
3	143	35651
4	144	28770
5	145	24172
6	147	20881
7	148	18419
8	149	16503
9	151	14951
10	152	13676
11	153	12615
12	154	11724
13	155	10955
14	156	10296
15	157	9713
16	159	9194
17	160	8734
18	161	8335
19	162	7969
20	163	7633
21	164	7331
22	165	7049
23	167	6796
24	168	6568
25	169	6359
26	171	6171
27	172	5981
28	173	5802
29	174	5636
30	175	5480
31	176	5332
32	177	5197
33	178	5072
34	179	4954
35	180	4843
36	182	4738
37	183	4640
38	184	4545
39	185	4460
40	186	4371
41	188	4288
42	190	4238
43	191	4170
44	193	4111
45	195	4051
46	196	3984
47	197	3918
48	198	3857
49	199	3798
50	201	3745
51	202	3700
52	204	3650
53	205	3601
54	206	3553
55	208	3507
56	209	3462
57	210	3418
58	211	3376
59	213	3337
60	214	3296
61	215	3256
62	226	3361
63	227	3331
64	229	3300
65	230	3265
66	232	3231
67	233	3197
68	234	3163
69	235	3129
70	236	3096
71	237	3065
72	238	3034
73	240	3013
74	242	2992
75	243	2964
76	245	2937
77	246	2910
78	247	2884
79	248	2858
80	249	2832
81	250	2806
82	251	2776
83	252	2751
84	253	2728
85	254	2705
86	255	2683
87	257	2663
88	258	2642
89	259	2621
90	260	2599
91	261	2580
92	262	2560
93	263	2541
94	264	2522
95	265	2503
96	267	2485
97	268	2470
98	269	2453
99	270	2437
100	272	2422
101	273	2404
102	274	2387
103	275	2369
104	276	2352
105	276	2334
106	277	2317
107	278	2300
108	279	2283
109	280	2267
110	281	2252
111	282	2236
112	282	2221
113	283	2205
114	284	2190
115	285	2175
116	286	2158
117	287	2146
118	287	2131
119	288	2117
120	289	2103
121	290	2088
122	291	2075
123	291	2061
124	292	2048
125	293	2035
126	294	2022
127	295	2009
128	296	1998
129	296	1986
130	297	1974
131	298	1962
132	299	1951
133	300	1939
134	300	1928
135	302	1918
136	302	1908
137	303	1897
138	304	1886
139	305	1875
140	306	1865
141	306	1853
142	307	1843
143	308	1833
144	309	1823
145	310	1816
146	311	1810
147	313	1803
148	314	1796
149	315	1788
150	317	1783
151	318	1776
152	319	1769
153	320	1760
154	321	1751
155	322	1742
156	322	1733
157	334	1784
158	339	1793
159	340	1786
160	340	1776
161	341	1768
162	342	1760
163	344	1753
164	345	1746
165	345	1737
166	346	1729
167	347	1721
168	348	1714
169	349	1706
170	350	1698
171	351	1690
172	351	1682
173	353	1678
174	355	1674
175	356	1671
176	358	1666
177	359	1661
178	361	1656
179	362	1650
180	363	1645
181	364	1637
182	365	1630
183	366	1623
184	366	1616
185	367	1609
186	369	1604
187	370	1598
188	371	1592
189	371	1585
190	372	1578
191	373	1572
192	374	1565
193	375	1558
194	376	1552
195	376	1545
196	377	1539
197	378	1533
198	379	1527
199	380	1521
200	381	1516
201	382	1509
202	383	1503
203	383	1497
204	384	1491
205	385	1485
206	386	1479
207	387	1473
208	387	1468
209	388	1462
210	389	1456
211	390	1451
212	391	1445
213	392	1440
214	392	1434
215	394	1431
216	395	1425
217	395	1420
218	396	1414
219	397	1409
220	398	1404
221	399	1399
222	400	1393
223	400	1388
224	401	1383
225	402	1378
226	403	1373
227	404	1368
228	405	1363
229	405	1358
230	406	1353
231	407	1348
232	408	1345
233	409	1340
234	410	1335
235	411	1330
236	411	1325
237	412	1321
238	413	1316
239	414	1311
240	415	1307
241	415	1302
242	416	1297
243	417	1293
244	418	1289
245	419	1284
246	419	1280
247	420	1275
248	421	1271
249	422	1267
250	424	1265
251	425	1262
252	426	1259
253	427	1256
254	428	1253
255	430	1249
256	431	1246
257	432	1243
258	433	1239
259	434	1236
260	435	1232
261	448	1263
262	451	1264
263	452	1261
264	453	1257
265	454	1255
266	455	1251
267	456	1247
268	457	1242
269	458	1239
270	459	1235
271	459	1230
272	460	1226
273	461	1222
274	462	1218
275	463	1215
276	464	1211
277	465	1208
278	466	1205
279	467	1202
280	468	1198
281	470	1197
282	471	1194
283	472	1190
284	473	1188
285	474	1184
286	475	1181
287	476	1177
288	477	1173
289	477	1170
290	478	1166
291	479	1163
292	480	1159
293	481	1156
294	482	1152
295	483	1148
296	483	1145
297	484	1142
298	485	1138
299	486	1135
300	487	1131
301	488	1128
302	489	1125
303	489	1121
304	490	1118
305	491	1114
306	492	1111
307	493	1108
308	494	1105
309	495	1102
310	496	1099
311	497	1096
312	497	1092
313	498	1089
314	499	1086
315	500	1084
316	501	1081
317	502	1078
318	503	1075
